                  Time        error x        error y        error z
252498780.000000000000000         -0.004         -0.004          0.003
252498790.000000000000000         -0.010         -0.001          0.004
252498800.000000000000000         -0.006         -0.002          0.008
252498810.000000000000000         -0.001         -0.002         -0.010
252498820.000000000000000          0.003          0.000         -0.005
252498830.000000000000000          0.002          0.002          0.003
252498840.000000000000000          0.000          0.000          0.000
252498850.000000000000000         -0.003         -0.003         -0.008
252498860.000000000000000         -0.005         -0.002         -0.016
252498870.000000000000000          0.002         -0.000          0.007
252498880.000000000000000          0.007         -0.003         -0.015
252498890.000000000000000          0.003          0.000         -0.018
252498900.000000000000000          0.002          0.000          0.007
252498910.000000000000000         -0.003         -0.002          0.003
252498920.000000000000000          0.005         -0.004          0.011
252498930.000000000000000          0.000         -0.001          0.002
252498940.000000000000000         -0.000         -0.001          0.011
252498950.000000000000000         -0.006         -0.001         -0.004
252498960.000000000000000          0.000          0.000          0.000
252498970.000000000000000          0.004         -0.005          0.014
252498980.000000000000000         -0.005          0.007         -0.009
252498990.000000000000000         -0.002          0.001         -0.001
252499000.000000000000000         -0.002          0.001         -0.015
252499010.000000000000000         -0.010          0.007         -0.001
252499020.000000000000000         -0.002          0.003          0.003
252499030.000000000000000         -0.002          0.002         -0.008
252499040.000000000000000          0.001          0.001          0.000
252499050.000000000000000         -0.001          0.002          0.001
252499060.000000000000000         -0.004          0.004          0.007
252499070.000000000000000         -0.001          0.002          0.006
252499080.000000000000000          0.000          0.000          0.000
252499090.000000000000000         -0.001         -0.004         -0.010
252499100.000000000000000         -0.001         -0.006          0.001
252499110.000000000000000         -0.001         -0.003          0.007
252499120.000000000000000         -0.000         -0.002         -0.004
252499140.000000000000000         -0.004         -0.004          0.010
252499150.000000000000000         -0.004          0.002         -0.005
252499160.000000000000000         -0.004         -0.000          0.001
252499170.000000000000000         -0.004         -0.003          0.008
252499180.000000000000000         -0.008         -0.005          0.011
252499190.000000000000000         -0.004         -0.005          0.018
252499200.000000000000000          0.000          0.000          0.000
252499210.000000000000000          0.005         -0.006         -0.018
252499220.000000000000000          0.006         -0.004         -0.019
252499230.000000000000000          0.003         -0.002         -0.006
252499240.000000000000000          0.001         -0.001         -0.023
252499260.000000000000000          0.007         -0.001         -0.011
252499270.000000000000000          0.011         -0.011          0.025
252499290.000000000000000          0.007         -0.000         -0.006
252499300.000000000000000          0.004          0.005         -0.024
252499310.000000000000000          0.006          0.003         -0.013
252499320.000000000000000          0.000          0.000          0.000
252499330.000000000000000          0.000          0.005          0.006
252499340.000000000000000          0.002          0.009          0.026
252499350.000000000000000         -0.004          0.003          0.008
252499360.000000000000000         -0.004          0.002         -0.000
252499370.000000000000000         -0.006          0.002         -0.004
252499380.000000000000000         -0.006          0.004          0.006
252499390.000000000000000         -0.015          0.006         -0.001
252499400.000000000000000         -0.009          0.003         -0.005
252499410.000000000000000         -0.004          0.001          0.005
252499420.000000000000000         -0.000          0.006         -0.003
252499430.000000000000000          0.001         -0.000         -0.002
252499440.000000000000000          0.000          0.000          0.000
252499450.000000000000000         -0.010          0.001         -0.012
252499460.000000000000000         -0.002         -0.003         -0.013
252499470.000000000000000          0.006         -0.002         -0.004
252499480.000000000000000          0.011         -0.000          0.007
252499490.000000000000000          0.003         -0.006          0.011
252499500.000000000000000          0.007         -0.004         -0.010
252499510.000000000000000          0.022          0.003         -0.007
252499530.000000000000000          0.002         -0.004         -0.005
252499540.000000000000000         -0.010          0.001         -0.021
252499550.000000000000000         -0.014          0.002         -0.019
252499560.000000000000000          0.000          0.000          0.000
252499570.000000000000000         -0.003         -0.002         -0.010
252499580.000000000000000         -0.008         -0.001         -0.007
252499590.000000000000000         -0.011          0.003         -0.000
252499600.000000000000000         -0.001          0.006         -0.008
252499610.000000000000000         -0.011          0.004         -0.011
252499620.000000000000000         -0.012          0.004          0.008
252499630.000000000000000         -0.015          0.014          0.021
252499640.000000000000000         -0.012          0.013          0.013
252499650.000000000000000         -0.008          0.002          0.005
252499660.000000000000000         -0.010          0.006          0.007
252499670.000000000000000         -0.014          0.003          0.006
252499680.000000000000000          0.000          0.000          0.000
252499700.000000000000000          0.008         -0.010          0.013
252499710.000000000000000          0.011         -0.002         -0.002
252499720.000000000000000          0.008         -0.003          0.000
252499730.000000000000000          0.004         -0.002         -0.000
252499740.000000000000000          0.010         -0.005         -0.003
252499750.000000000000000          0.021         -0.006          0.005
252499760.000000000000000          0.006         -0.016          0.015
252499770.000000000000000          0.004         -0.002         -0.001
252499780.000000000000000          0.014          0.003          0.004
252499790.000000000000000          0.009          0.003          0.006
252499800.000000000000000          0.000          0.000          0.000
252499810.000000000000000         -0.007         -0.005          0.004
252499820.000000000000000         -0.002         -0.002          0.004
252499830.000000000000000         -0.011          0.004          0.004
252499840.000000000000000         -0.019          0.003          0.006
252499850.000000000000000         -0.009          0.001          0.001
252499860.000000000000000         -0.009          0.004          0.007
252499870.000000000000000         -0.013          0.008          0.006
252499880.000000000000000         -0.009          0.007          0.008
252499890.000000000000000         -0.002          0.001          0.003
252499900.000000000000000          0.008          0.003         -0.006
252499910.000000000000000         -0.004          0.004         -0.003
252499920.000000000000000          0.000          0.000          0.000
252499930.000000000000000          0.006         -0.001         -0.003
252499940.000000000000000          0.010          0.001         -0.004
252499950.000000000000000         -0.003          0.001         -0.002
252499960.000000000000000         -0.011          0.001          0.002
252499970.000000000000000         -0.010          0.001          0.005
252499980.000000000000000          0.009         -0.001         -0.003
252499990.000000000000000         -0.001          0.003          0.001
252500000.000000000000000          0.004          0.001         -0.004
