                  Time        error x        error y        error z
252740090.000000000000000         -0.003          0.013          0.034
252740100.000000000000000         -0.004          0.013          0.030
252740110.000000000000000         -0.020         -0.013          0.028
252740120.000000000000000         -0.020         -0.015          0.028
252740130.000000000000000         -0.004          0.013          0.031
252740140.000000000000000          0.005          0.027          0.032
252740150.000000000000000          0.001          0.022          0.034
252740160.000000000000000         -0.004          0.011          0.030
252740170.000000000000000         -0.011         -0.006          0.026
252740180.000000000000000         -0.011         -0.005          0.025
252740190.000000000000000         -0.005          0.012          0.029
252740200.000000000000000         -0.001          0.023          0.033
252740210.000000000000000         -0.003          0.019          0.030
252740220.000000000000000         -0.004          0.014          0.029
252740230.000000000000000          0.004          0.025          0.029
252740240.000000000000000          0.007          0.023          0.030
252740250.000000000000000         -0.003          0.018          0.028
252740260.000000000000000         -0.007          0.014          0.029
252740270.000000000000000         -0.005          0.011          0.030
252740280.000000000000000         -0.002          0.014          0.027
252740290.000000000000000         -0.009          0.002          0.023
252740300.000000000000000         -0.013          0.002          0.022
252740310.000000000000000         -0.002          0.015          0.026
252740320.000000000000000          0.001          0.018          0.025
252740330.000000000000000         -0.002          0.011          0.024
252740340.000000000000000         -0.003          0.012          0.024
252740350.000000000000000         -0.000          0.023          0.025
252740360.000000000000000         -0.000          0.024          0.025
252740370.000000000000000         -0.000          0.017          0.025
252740380.000000000000000         -0.007          0.009          0.023
252740390.000000000000000         -0.005          0.010          0.026
252740400.000000000000000         -0.000          0.018          0.026
252740410.000000000000000          0.002          0.010          0.023
252740420.000000000000000          0.000          0.012          0.027
252740430.000000000000000         -0.002          0.015          0.025
252740440.000000000000000         -0.004          0.015          0.022
252740450.000000000000000         -0.006          0.014          0.017
252740460.000000000000000         -0.002          0.014          0.027
252740470.000000000000000          0.001          0.016          0.024
252740480.000000000000000         -0.001          0.014          0.022
252740490.000000000000000         -0.002          0.013          0.024
252740500.000000000000000          0.001          0.017          0.038
252740510.000000000000000          0.001          0.019          0.038
252740520.000000000000000         -0.002          0.015          0.022
252740530.000000000000000         -0.005          0.011          0.014
252740540.000000000000000         -0.008          0.008          0.014
252740550.000000000000000         -0.002          0.015          0.022
252740560.000000000000000         -0.004          0.014          0.024
252740570.000000000000000         -0.003          0.012          0.017
252740580.000000000000000         -0.001          0.016          0.024
252740590.000000000000000         -0.001          0.018          0.037
252740600.000000000000000         -0.001          0.020          0.036
252740610.000000000000000         -0.002          0.014          0.021
252740620.000000000000000         -0.005          0.006          0.022
252740630.000000000000000         -0.003          0.011          0.019
252740640.000000000000000         -0.001          0.014          0.024
252740650.000000000000000         -0.005          0.008          0.012
252740660.000000000000000         -0.002          0.009          0.017
252740670.000000000000000         -0.001          0.016          0.019
252740680.000000000000000          0.001          0.029          0.016
252740690.000000000000000         -0.001          0.025          0.019
252740700.000000000000000         -0.000          0.018          0.019
252740710.000000000000000          0.000          0.018          0.016
252740720.000000000000000          0.001          0.020          0.018
252740730.000000000000000         -0.001          0.019          0.014
252740740.000000000000000          0.003          0.014          0.025
252740750.000000000000000          0.002          0.020          0.013
252740760.000000000000000         -0.000          0.019          0.015
252740770.000000000000000          0.004          0.006          0.028
252740780.000000000000000          0.002          0.026          0.023
252740790.000000000000000         -0.001          0.020          0.017
252740800.000000000000000          0.004          0.014          0.023
252740810.000000000000000          0.000          0.018          0.023
252740820.000000000000000         -0.001          0.021          0.016
252740830.000000000000000         -0.001          0.021          0.015
252740840.000000000000000         -0.001          0.023          0.014
252740850.000000000000000         -0.001          0.022          0.019
252740860.000000000000000         -0.002          0.021          0.023
252740870.000000000000000         -0.001          0.021          0.018
252740880.000000000000000         -0.001          0.022          0.019
252740890.000000000000000          0.001          0.015          0.018
252740900.000000000000000          0.003          0.020          0.017
252740910.000000000000000          0.000          0.022          0.017
252740920.000000000000000         -0.000          0.014          0.018
252740930.000000000000000          0.002          0.017          0.020
252740940.000000000000000          0.001          0.022          0.020
252740950.000000000000000          0.003          0.020          0.018
252740960.000000000000000          0.003          0.026          0.013
252740970.000000000000000          0.001          0.024          0.015
252740980.000000000000000          0.001          0.023          0.024
252740990.000000000000000          0.003          0.026          0.029
