                  Time        error x        error y        error z
252801660.000000000000000          0.000          0.000          0.000
252801670.000000000000000       9323.906      -1843.532       1683.026
252801680.000000000000000      14094.066      -2796.006       2766.364
252801690.000000000000000      18551.393      -3686.114       3779.979
252801700.000000000000000      22648.246      -4504.338       4714.207
252801710.000000000000000      26339.132      -5241.543       5559.905
252801720.000000000000000          0.000          0.000          0.000
252801730.000000000000000        222.718        -44.820         39.755
252801740.000000000000000        240.409        -48.376         42.563
252801750.000000000000000        259.212        -52.153         45.608
252801760.000000000000000        278.317        -55.990         48.622
252801770.000000000000000        297.202        -59.790         51.579
252801780.000000000000000          0.000          0.000          0.000
252801790.000000000000000       2292.479       -466.297        196.621
252801800.000000000000000       2172.501       -442.006        185.370
252801810.000000000000000       2044.497       -416.073        173.206
252801820.000000000000000       1910.645       -388.953        160.240
252801830.000000000000000       1773.047       -361.075        146.594
252801840.000000000000000          0.000          0.000          0.000
252801850.000000000000000          6.249         -1.121          5.299
252801860.000000000000000         48.301         -9.605         10.516
252801870.000000000000000         93.553        -18.738         16.184
252801880.000000000000000        140.574        -28.226         22.128
252801890.000000000000000        187.796        -37.747         28.133
252801900.000000000000000          0.000          0.000          0.000
252801910.000000000000000          6.577         -1.235          4.868
252801920.000000000000000         48.841         -9.837          7.196
252801930.000000000000000         94.364        -19.105          9.757
252801940.000000000000000        141.645        -28.724         12.466
252801950.000000000000000        189.128        -38.392         15.232
252801960.000000000000000          0.000          0.000          0.000
252801970.000000000000000          6.852         -1.339          4.403
252801980.000000000000000         49.161        -10.035          3.832
252801990.000000000000000         94.730        -19.391          3.282
252802000.000000000000000        142.071        -29.107          2.746
252802010.000000000000000        189.591        -38.859          2.263
252802020.000000000000000          0.000          0.000          0.000
252802030.000000000000000          7.109         -1.443          3.932
252802040.000000000000000         49.271        -10.178          0.470
252802050.000000000000000         94.675        -19.590         -3.211
252802060.000000000000000        141.843        -29.360         -6.980
252802070.000000000000000        189.214        -39.168        -10.710
252802080.000000000000000          0.000          0.000          0.000
252802090.000000000000000       9025.073      -1936.663      -2799.114
252802100.000000000000000      13743.421      -2937.097      -4033.328
252802110.000000000000000      18152.914      -3872.120      -5185.450
252802120.000000000000000      22206.924      -4731.797      -6242.115
252802130.000000000000000      25861.042      -5506.662      -7190.434
252802140.000000000000000          0.000          0.000          0.000
252802150.000000000000000          7.566         -1.652          2.915
252802160.000000000000000         48.855        -10.365         -6.301
252802170.000000000000000         93.305        -19.717        -16.121
252802180.000000000000000        139.520        -29.447        -26.308
252802190.000000000000000        185.938        -39.208        -36.476
252802200.000000000000000          0.000          0.000          0.000
252802210.000000000000000          7.705         -1.751          2.386
252802220.000000000000000         48.279        -10.367         -9.612
252802230.000000000000000         91.987        -19.637        -22.475
252802240.000000000000000        137.387        -29.267        -35.792
252802250.000000000000000        182.999        -38.924        -49.096
252802260.000000000000000          0.000          0.000          0.000
252802270.000000000000000          7.828         -1.824          1.853
